,Date,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
83,03-08-2016,3678.443,2655.043,2772.8037,2099.449,1645.9451,2483.309,5019.76,8869.5392
84,02-08-2016,3666.951,2657.151,2777.6538,2101.2068,1656.8251,2488.6963,4992.56,8857.6375
85,01-08-2016,3690.428,2694.228,2793.2904,2109.1985,1676.1031,2494.0785,4992.56,8823.6885
86,29-07-2016,3695.12,2685.32,2792.6478,2107.0429,1669.111,2487.9585,4965.36,8804.4666
87,28-07-2016,3689.102,2665.702,2770.8759,2102.9765,1645.668,2481.8436,4965.36,8820.9583
88,27-07-2016,3683.186,2673.386,2773.2321,2105.7271,1654.6083,2487.2207,4965.36,8821.419
89,26-07-2016,3687.606,2664.206,2770.1109,2103.5239,1645.685,2481.1109,4965.36,8820.4194
90,25-07-2016,3686.416,2649.416,2747.5434,2100.3177,1621.6113,2475.0062,4992.56,8849.4214
91,22-07-2016,3697.551,2674.151,2784.9366,2106.1181,1657.8451,2480.3782,4992.56,8819.5116
92,21-07-2016,3680.789,2643.789,2753.1738,2100.1239,1626.6059,2474.2786,4992.56,8850.5995
93,20-07-2016,3694.134,2643.534,2747.9259,2099.5221,1616.02,2468.1841,4992.56,8841.4994
94,19-07-2016,3678.426,2614.226,2718.3357,2093.7115,1586.4621,2462.0964,4992.56,8870.7462
95,18-07-2016,3683.713,2605.913,2701.7505,2091.6664,1567.0345,2456.0121,4992.56,8874.0544
96,15-07-2016,3674.958,2583.558,2648.0169,2087.1019,1518.6423,2449.9329,4992.56,8905.6234
97,14-07-2016,3678.375,2573.375,2627.3313,2086.08445,1496.0068,2443.8605,4992.56,8912.4149
98,13-07-2016,3659.131,2567.731,2616.9885,2085.067,1495.031,2449.2257,4965.36,8914.1217
99,12-07-2016,3658.638,2580.838,2624.8374,2088.7815,1508.2417,2454.5858,4965.36,8907.1058
100,11-07-2016,3633.172,2541.772,2627.4843,2081.2012,1503.7962,2448.5168,4965.36,8933.8536
101,08-07-2016,3620.83,2543.03,2645.6148,2082.7788,1525.0292,2453.8718,4965.36,8934.7223
102,07-07-2016,3566.43,2502.23,2650.2966,2076.7727,1535.7749,2459.2217,4965.36,8982.8102
103,06-07-2016,3569.541,2491.741,2658.9105,2074.3281,1535.9891,2453.1595,4965.36,8978.669
104,05-07-2016,3550.535,2486.335,2654.8866,2074.6919,1539.9416,2458.5026,4965.36,8994.7119
105,01-07-2016,3575.015,2524.415,2661.3432,2082.9046,1552.0745,2463.8423,4938.16,8946.2245
106,30-06-2016,3568.062,2503.862,2644.8804,2078.6427,1532.7166,2457.7835,4938.16,8961.8254
107,29-06-2016,3520.309,2442.509,2610.792,2067.0028,1499.5921,2451.7315,4938.16,9025.062
108,28-06-2016,3461.353,2369.953,2609.5986,2053.3263,1492.1495,2445.6829,4938.16,9086.7856
109,27-06-2016,3400.918,2295.918,2584.8432,2039.3693,1466.3027,2439.6394,4965.36,9176.1274
110,24-06-2016,3463.597,2344.997,2580.9417,2047.6976,1456.7402,2433.601,4938.16,9100.2802
111,23-06-2016,3592.644,2487.644,2565.351,2055.48445,1451.6453,2438.9356,4938.16,8972.8108
112,22-06-2016,3545.265,2426.665,2567.8602,2063.2713,1438.2544,2432.9023,4965.36,9042.9358
113,21-06-2016,3551.13,2446.13,2570.3694,2068.1265,1456.1333,2438.2301,4992.56,9044.2176
114,20-06-2016,3541.525,2431.102,2554.7328,2063.375,1437.3959,2432.2019,4965.36,9045.2427
115,17-06-2016,3521.074,2416.074,2527.6518,2063.4498,1423.3097,2437.5263,4965.36,9071.7933
116,16-06-2016,3532.583,2441.183,2524.5306,2069.3318,1427.9473,2442.8439,4965.36,9057.0441
117,15-06-2016,3521.55,2416.55,2444.4504,2064.3151,1358.8117,2436.8208,4965.36,9101.7473
118,14-06-2016,3528.044,2436.576,2458.9548,2069.2859,1377.2244,2442.1333,4965.36,9085.1468
119,13-06-2016,3534.402,2456.602,2482.3332,2074.2329,1402.5799,2447.439,4938.16,9048.1922
120,10-06-2016,3563.319,2499.119,2512.5966,2083.2922,1433.3278,2452.7413,4938.16,9007.7152
121,09-06-2016,3596.316,2518.516,2525.4945,2086.3029,1436.8961,2446.7233,4938.16,8967.2382
122,08-06-2016,3602.504,2538.304,2539.94535,2091.2278,1451.4685,2452.0205,4938.16,8952.8239
123,07-06-2016,3590.621,2540.021,2554.3962,2092.8564,1473.6705,2457.3109,4910.96,8935.6352
124,06-06-2016,3585.997,2548.997,2573.3529,2095.8076,1495.5886,2462.5979,4938.16,8945.315
125,03-06-2016,3568.521,2545.121,2588.2398,2096.4094,1514.326,2467.8781,4965.36,8969.438
126,02-06-2016,3578.942,2541.942,2591.5599,2095.3095,1510.4109,2461.8652,4965.36,8960.02
127,01-06-2016,3568.861,2518.261,2566.8198,2090.4594,1484.525,2455.8574,4965.36,8982.1965
128,31-05-2016,3564.832,2500.632,2557.9152,2086.716,1471.0355,2449.8547,4965.36,8992.0735
129,27-05-2016,3568.402,2517.802,2571.6087,2091.1632,1488.843,2455.1298,4992.56,8995.6044
130,26-05-2016,3553.17,2488.97,2555.253,2085.3645,1469.514,2449.1322,4992.56,9019.6458
131,25-05-2016,3553.918,2476.118,2526.03,2082.4932,1440.1023,2443.1397,4992.56,9032.831
132,24-05-2016,3529.302,2465.102,2545.1244,2081.7673,1462.1428,2448.4097,4992.56,9045.3974
133,23-05-2016,3481.668,2431.068,2553.6465,2076.8084,1475.9026,2453.6746,4992.56,9085.1723
134,20-05-2016,3488.944,2451.944,2572.9704,2081.9305,1498.1301,2458.9344,4992.56,9065.7277
135,19-05-2016,3468.068,2444.668,2578.4019,2081.582,1509.4708,2464.1891,4965.36,9062.9584
136,18-05-2016,3480.971,2443.971,2610.4248,2081.2335,1528.062,2458.2,4965.36,9039.5919
137,17-05-2016,3480.257,2429.657,2586.0672,2078.0868,1502.4515,2452.2177,4965.36,9052.3436
138,16-05-2016,3513.322,2476.322,2606.0031,2087.9621,1525.1703,2457.4673,4992.56,9023.8193
139,13-05-2016,3479.237,2428.637,2595.2319,2078.6665,1510.2103,2451.4884,4965.36,9047.5241
140,12-05-2016,3508.987,2471.987,2590.2747,2087.9366,1513.408,2456.7329,4992.56,9032.2734
141,11-05-2016,3509.582,2486.182,2615.841,2091.8347,1540.5519,2461.9706,5019.76,9033.9326
142,10-05-2016,3543.463,2506.463,2617.4781,2095.0783,1535.3244,2455.9985,5019.76,9001.6972
143,09-05-2016,3499.773,2469.7005,2582.0739,2083.996,1501.0303,2450.0298,4992.56,9044.9248
144,06-05-2016,3497.138,2432.938,2603.8611,2080.4957,1511.6145,2444.0679,4965.36,9024.1066
145,05-05-2016,3486.071,2408.271,2577.1779,2075.4348,1484.1561,2438.1094,4938.16,9031.2347
146,04-05-2016,3486.904,2395.504,2546.838,2072.5737,1453.8213,2432.1577,4965.36,9061.9588
147,03-05-2016,3507.729,2402.729,2566.1007,2073.4152,1462.4267,2426.2094,4992.56,9052.687
148,02-05-2016,3538.431,2447.031,2594.3904,2082.8927,1491.7262,2431.442,5019.76,9023.0747
149,29-04-2016,3511.01,2433.21,2582.0586,2081.599,1489.1269,2436.6712,5019.76,9050.9972
150,28-04-2016,3528.877,2437.477,2537.1378,2081.9016,1447.3256,2430.728,4992.56,9036.6424
151,27-04-2016,3561.755,2456.755,2526.9786,2084.9939,1432.8246,2424.7899,5019.76,9027.2193
152,26-04-2016,3555.89,2450.499,2536.2198,2087.6986,1447.1641,2430.0123,5046.96,9041.8733
153,25-04-2016,3549.243,2444.243,2539.4328,2083.4554,1443.1691,2424.0793,5019.76,9032.5505
154,22-04-2016,3555.686,2437.086,2497.3731,2081.6449,1403.5914,2418.1531,5019.76,9045.5504
155,21-04-2016,3555.516,2423.316,2490.1056,2078.6053,1391.3531,2412.2303,5046.96,9068.0312
156,20-04-2016,3574.08,2455.48,2548.2762,2083.8736,1444.1619,2417.4476,5046.96,9021.3152
157,19-04-2016,3571.36,2466.36,2509.6743,2089.1419,1420.8906,2422.6598,5046.96,9035.3147
158,18-04-2016,3560.378,2441.778,2582.334,2084.0895,1471.5098,2416.7421,5046.96,9018.9692
159,15-04-2016,3537.241,2432.241,2598.9498,2083.5659,1491.6633,2421.9475,5046.96,9030.8301
160,14-04-2016,3540.726,2449.326,2608.6194,2088.008,1506.3564,2427.1495,5074.16,9035.8978
161,13-04-2016,3540.114,2435.114,2589.4944,2084.8834,1484.797,2421.2369,5074.16,9046.6503
162,12-04-2016,3504.924,2413.524,2584.7208,2082.0988,1488.1273,2426.4338,5074.16,9079.3124
163,11-04-2016,3471.383,2393.583,2588.7447,2079.6151,1502.545,2431.6239,5074.16,9104.5438
164,08-04-2016,3480.92,2389.52,2592.7686,2078.3809,1495.0327,2425.7164,5074.16,9099.233
165,07-04-2016,3471.247,2366.247,2590.1064,2073.5546,1486.4222,2419.814,5046.96,9093.9222
166,06-04-2016,3513.322,2421.922,2581.9362,2085.22,1487.0767,2424.999,5046.96,9050.7252
167,05-04-2016,3476.789,2398.989,2596.3641,2082.16,1505.5217,2430.1806,5046.96,9076.827
168,04-04-2016,3512.421,2448.221,2610.0882,2092.6252,1523.4159,2435.3554,5074.16,9048.0443
169,01-04-2016,3523.726,2445.926,2618.442,2091.7344,1523.4839,2429.4581,5101.36,9052.5935
170,31-03-2016,3501.558,2410.158,2602.7442,2084.5621,1504.6071,2423.5659,5101.36,9083.5539
171,30-03-2016,3508.715,2430.915,2613.8061,2089.6927,1520.4103,2428.7356,5101.36,9067.3274
172,29-03-2016,3493.517,2402.117,2609.4456,2083.8226,1510.4619,2422.8468,5101.36,9086.636
173,28-03-2016,3462.985,2357.985,2592.9216,2075.0659,1490.9289,2416.9648,5128.56,9143.3259
174,24-03-2016,3461.098,2342.498,2577.5145,2071.6931,1472.2714,2411.0862,5101.36,9136.9203
175,23-03-2016,3462.407,2330.207,2586.6945,2068.9221,1472.9922,2405.2127,5074.16,9117.1153
176,22-03-2016,3484.66,2366.06,2586.5415,2076.8968,1479.9571,2410.379,5101.36,9107.4423
177,21-03-2016,3487.72,2382.72,2598.3837,2081.259,1496.3808,2415.5385,5101.36,9094.966
178,18-03-2016,3484.286,2392.886,2591.8047,2084.3955,1498.278,2420.6929,5101.36,9096.6524
179,17-03-2016,3469.003,2364.003,2592.1872,2078.4948,1492.0662,2414.8245,5128.56,9129.84575
180,16-03-2016,3446.274,2354.874,2600.0667,2077.9865,1505.3687,2419.97125,5155.76,9163.0391
181,15-03-2016,3427.081,2349.281,2612.2761,2078.1395,1522.0882,2425.118,5155.76,9172.6373
182,14-03-2016,3433.388,2369.188,2592.9675,2083.1103,1513.9401,2430.2571,5128.56,9152.9156
183,11-03-2016,3437.723,2387.123,2601.4437,2087.7088,1527.7152,2435.3911,5128.56,9140.5413
184,10-03-2016,3382.269,2345.269,2600.2809,2080.9921,1533.8845,2440.52,5155.76,9208.9918
185,09-03-2016,3381.742,2331.142,2612.2302,2077.8658,1536.8051,2434.6567,5155.76,9206.8141
186,08-03-2016,3364.742,2327.742,2625.633,2078.4166,1554.4749,2439.7805,5182.96,9230.6872
187,07-03-2016,3402.992,2379.592,2629.3968,2089.4411,1564.5372,2444.8992,5155.76,9169.3529
188,04-03-2016,3399.983,2362.983,2614.8924,2085.8456,1546.5716,2439.041,5155.76,9180.765
189,03-03-2016,3388.78,2365.38,2628.0504,2087.4946,1564.0544,2444.1529,5155.76,9181.9261
190,02-03-2016,3376.965,2339.965,2617.7994,2082.2246,1549.4463,2438.2998,5155.76,9200.3626
191,01-03-2016,3363.195,2339.795,2637.0009,2083.3806,1571.7061,2443.4083,5128.56,9184.5271
192,29-02-2016,3284.791,2274.991,2631.0951,2072.2405,1574.1303,2448.5117,5128.56,9260.9217
193,26-02-2016,3311.685,2288.285,2633.9256,2074.3213,1569.8565,2442.662,5155.76,9252.1259
194,25-02-2016,3317.89,2308.09,2628.9684,2079.2683,1573.0304,2447.7603,5128.56,9226.5154
195,24-02-2016,3280.66,2284.46,2627.4078,2075.9414,1591.1388,2452.8535,5101.36,9236.3346
196,23-02-2016,3266.159,2256.359,2625.8472,2070.1393,1571.1417,2447.0089,5074.16,9243.3658
